,Price,Title,Reviews,Total reviews
0,63.00 Dhs,mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,4.5 out of 5,4.5 out of 5(61)
1,179.00 Dhs,XIAOMI Wifi Amplificateur Pro Sans Fil Répéteur Wifi  jusqu'à 300 m Global Version,3.9 out of 5,3.9 out of 5(77)
2,269.00 Dhs,"Logitech G102 LIGHTSYNC Souris Gaming avec Éclairage RVB, 8 000 PPP, Ultra-Léger - Noir",4.7 out of 5,4.7 out of 5(162)
3,129.00 Dhs,"Logitech M220 Souris sans Fil, Boutons Silencieux, Optique, Ambidextre - Charbon",4.8 out of 5,4.8 out of 5(32)
4,106.00 Dhs,Jedel Kit Clavier de jeu AZERTY RVB Plus Souris Gaming 4 Boutons USB LED 1600 DPI,3.9 out of 5,3.9 out of 5(28)
5,28.00 Dhs,mifoy M10 Souris Filaire Optique USB Effet Lumineuse RGB E-sport pour Ordinateur,3.8 out of 5,3.8 out of 5(116)
6,269.00 Dhs,"Logitech G102 LIGHTSYNC Souris Gaming avec Éclairage RVB, 8 000 PPP, Ultra-Léger - Blanc",4.5 out of 5,4.5 out of 5(98)
7,"2,460.00 Dhs","Hp PC GAMER i5 4éme Génération 16GB RAM NVIDIA GT 710 2GB -3 Jeux Installé FORTNE, GTA 5, Call of Duty WINDOWS 10 remis à neuf",3.9 out of 5,3.9 out of 5(57)
8,94.65 Dhs,Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,4 out of 5,4 out of 5(224)
9,171.00 Dhs,Havit Casque Gamer  avec  son surround casque antibruit avec micro,4.7 out of 5,4.7 out of 5(33)
10,238.00 Dhs,MILANG Clavier mécanique gaming filaire rétroéclaire gamer par LED RGB Blue 104 touches,4.6 out of 5,4.6 out of 5(7)
11,699.00 Dhs,Canon Imprimante Jet d’encre Couleur Multifonction - Wifi TS3140,3.9 out of 5,3.9 out of 5(136)
12,29.00 Dhs,Adaptateur USB 3.0 de type-C,4.2 out of 5,4.2 out of 5(21)
13,260.00 Dhs,XIAOMI Répéteur Wi-Fi sans fil AC1200Mbps double bande 2.4GHz / 5GHz,4.5 out of 5,4.5 out of 5(11)
14,170.00 Dhs,karler bass Casque de jeu Gaming Super BASS RGB LED surround 7.1 pour PS4/PS5/XBOX/PC/Mobile,3.7 out of 5,3.7 out of 5(48)
15,382.00 Dhs,Casque de jeu V1 Casque de jeu pour ordinateur PS4,4.1 out of 5,4.1 out of 5(30)
16,135.99 Dhs,"iboga Pack clavier,souris et tapis de souris Gamer Clavier RGB touches /Souris Gamer + sticker",3.7 out of 5,3.7 out of 5(13)
17,99.00 Dhs,"Logitech H111 Casque Filaire, Ecouteurs Stéréo avec Micro Anti-Parasite - Noir",4.1 out of 5,4.1 out of 5(127)
18,229.00 Dhs,iboga Gaming combo ensemble gaming 4 in 1 Clavier Souris casque et tapis gamer + Sticker Cadeau ( Pro gamer ),4 out of 5,4 out of 5(2)
19,189.00 Dhs,"Logitech G300s Souris Gamer Filaire, Ambidextre, RVB Gaming, Ultra-Léger,Mémoire Intégrée",4.7 out of 5,4.7 out of 5(112)
20,171.00 Dhs,"Table d'ordinateur portable, Réglable, Pliable, Support Souris, Double Ventilateurs de refroidissement, Léger pour PC Ordinateur Portable/ Notebook (Noir)",4.1 out of 5,4.1 out of 5(99)
21,165.00 Dhs,"Targus Cartable Slim Professional Bag pour ordinateur portable 16 pouces,",4.1 out of 5,4.1 out of 5(16)
22,439.00 Dhs,"Kingston Originale SSD 240GB (2.5""SATA 3) améliore et réactivité du système transferts fichiers plus rapide",4.3 out of 5,4.3 out of 5(11)
23,279.00 Dhs,XIAOMI tablette d'écriture Mi LCD 13.5 pouces pour écriture électronique dessin Digital,3.7 out of 5,3.7 out of 5(21)
24,149.99 Dhs,GameYes Grand Tapis de souris LED gamer haut de gamme 14 modes led gaming mousepad,4.3 out of 5,4.3 out of 5(31)
25,329.00 Dhs,"Logitech C310 Webcam HD,Appel Vidéo HD Large Champ Vision,Correction de la Lumière - Noir",4.2 out of 5,4.2 out of 5(11)
26,"299.00 Dhs - 1,499.00 Dhs",Seagate 500GB - 1TB - 2TB - 3TB - 4TB Disque Dur HDD 3.5 SATA Hard Drive,4.2 out of 5,4.2 out of 5(58)
27,528.00 Dhs,Toshiba Disque dur externe USB 3.0 canvio Basic  1TB Noir slim ( nouveau model ) ,4.4 out of 5,4.4 out of 5(193)
28,970.00 Dhs,Hp EliteDisplay E231 Écran 23″ Full HD 1920 x 1080 à 60 Hz - Remis à Neuf,4.3 out of 5,4.3 out of 5(4)
29,128.00 Dhs,Mini Clavier sans Fil Touchpad Rétroéclairé 7 Couleurs Azerty + Lettre Arabe,4.8 out of 5,4.8 out of 5(16)
30,165.00 Dhs,"Promo Casque Gamer Flexible, Lumière LED, USB avec Micro - Pour PC, PS3, PS4, XBOX - Haute Qualité",4.1 out of 5,4.1 out of 5(51)
31,73.00 Dhs,"Souris De Jeu USB Gamer 5500 Dpi 7 Boutons Led Filaire, PC Portable et desktop",4.2 out of 5,4.2 out of 5(43)
32,599.00 Dhs,"Logitech G502 HERO Souris Gamer Filaire Haute Performance, 25600 PPP, RVB Poids Ajustable",4.7 out of 5,4.7 out of 5(7)
33,56.90 Dhs,Jedel Souris Gaming Sans fil Originale Mouse Optique Wireless,4 out of 5,4 out of 5(203)
34,48.00 Dhs,Clé wifi puissant vitesse N,3.8 out of 5,3.8 out of 5(48)
35,147.00 Dhs,Pack Combo Gaming Clavier + Souris 7D USB RGB,3.9 out of 5,3.9 out of 5(105)
36,85.00 Dhs,"Azami Tech Souris sans fil,rechargeable et silencieuse,Bluetooth éclairage LED RGB+Stickers Gratuit",4 out of 5,4 out of 5(48)
37,32.00 Dhs,Jedel Souris Filaire Optique USB 3D pour Ordinateur Lumineuse RGB,3.6 out of 5,3.6 out of 5(224)
38,189.00 Dhs,Canon Cartouche d'encre noire PG-445,4.2 out of 5,4.2 out of 5(85)
39,"2,065.00 Dhs","Hp PC GAMER - i5 3eme GENERATION + 8GB RAM+500 Go + NVIDIA GT 710  2GB - 3 jeux installé ( FORTNITE, GTA 5 et Call of Duty ) - remis à neufs",3.5 out of 5,3.5 out of 5(28)
